fips,total_partnerships,male_ss_partnerships,male_ssp_share
1,50094,674,1.3454705154309898
2,6850,133,1.9416058394160582
4,59712,1439,2.409900857449089
5,31760,348,1.0957178841309823
6,353925,10198,2.8814014268559722
8,51582,1490,2.8886045519754955
9,39359,649,1.6489240072156304
10,9029,168,1.8606711706722783
11,4169,322,7.723674742144398
12,187027,3959,2.11680666427842
13,88950,2047,2.301292861157954
15,12747,242,1.8984859182552758
16,15746,288,1.8290359456369871
17,138927,2267,1.6317922362103838
18,72369,1055,1.457806519366027
19,36756,530,1.4419414517357712
20,32164,513,1.5949508767566223
21,47969,547,1.1403197898642874
22,46197,673,1.4568045544082948
23,16617,202,1.2156225552145394
24,58821,1093,1.8581799017357747
25,71875,1781,2.477913043478261
26,115686,1721,1.4876475978078592
27,61777,1000,1.6187254156077504
28,28732,380,1.322567172490603
29,66403,961,1.4472237700103912
30,11427,192,1.680231031766868
31,21106,336,1.5919643703212356
32,22979,626,2.724226467644371
33,15751,218,1.3840391086280237
34,94180,1408,1.495009556169038
35,20165,335,1.6612943218447807
36,201759,3791,1.8789744199763085
37,93273,1805,1.9351795267655163
38,8033,112,1.3942487240134445
39,131908,1902,1.4419140613154624
40,41179,537,1.304062750431045
41,41990,1011,2.4077161228864012
42,145737,1809,1.2412770950410672
44,11746,224,1.907032181168057
45,43989,734,1.6685989679237991
46,9151,120,1.3113320948530216
47,66129,1000,1.5121958596077365
48,230588,4319,1.8730376255485977
49,25221,514,2.037984219499623
50,7848,119,1.516309887869521
51,81638,1706,2.089713123790392
53,71192,1739,2.4426901899089786
54,21992,237,1.0776646053110222
55,67840,981,1.4460495283018868
56,6190,85,1.3731825525040386
